	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2026	2026	2026	2026	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
5   PRJ NL-N-TS2-002               TPS-II LEP Stage I &	         6843837475	         3191671109	         3652166366	               53.4	         2855912771	         2811734034	           44178737	                1.5	         3987924704	          379937075	         3607987629	               90.5	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         6843837475	         3191671109	         3652166366	               53.4
4   WBS NL-N-TS2-002               TPS-II LEP Stage I &	         6843837475	         3191671109	         3652166366	               53.4	         2855912771	         2811734034	           44178737	                1.5	         3987924704	          379937075	         3607987629	               90.5	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         6843837475	         3191671109	         3652166366	               53.4
    WBS NL-N-TS2-002-01            AHS	           71879932	           58360649	           13519283	               18.8	           51879932	           57148332	           -5268400	              -10.2	           20000000	            1212316	           18787684	               93.9	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           71879932	           58360649	           13519283	               18.8
    WBS NL-N-TS2-002-01-01         ESP-UNIT-2	           71879932	           22310265	           49569667	               69.0	           51879932	           22310265	           29569667	               57.0	           20000000	                  0	           20000000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           71879932	           22310265	           49569667	               69.0
    WBS NL-N-TS2-002-01-03         CS Seamless pipe siz	                  0	           11361324	          -11361324	                  0	                  0	           11361324	          -11361324	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11361324	          -11361324	                  0
    WBS NL-N-TS2-002-01-04         Purchase of ceramic	                  0	            2150545	           -2150545	                  0	                  0	            2150545	           -2150545	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2150545	           -2150545	                  0
    WBS NL-N-TS2-002-01-06         Air BLOCK 1ST STAGE	                  0	            8979800	           -8979800	                  0	                  0	            8979800	           -8979800	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8979800	           -8979800	                  0
    WBS NL-N-TS2-002-01-08         Air Block 1st &2nd s	                  0	            8920800	           -8920800	                  0	                  0	            8920800	           -8920800	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8920800	           -8920800	                  0
    WBS NL-N-TS2-002-01-09         Purchase of Ash inle	                  0	            3425599	           -3425599	                  0	                  0	            3425599	           -3425599	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3425599	           -3425599	                  0
    WBS NL-N-TS2-002-01-10         Purchase of ceramic	                  0	            1212316	           -1212316	                  0	                  0	                  0	                  0	                  0	                  0	            1212316	           -1212316	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1212316	           -1212316	                  0
    WBS NL-N-TS2-002-02            CIVIL	          390368961	          269143337	          121225624	               31.1	          258368961	          200652881	           57716080	               22.3	          132000000	           68490456	           63509544	               48.1	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          390368961	          269143337	          121225624	               31.1
    WBS NL-N-TS2-002-02-01         Rehabilitation works	          390368961	                  0	          390368961	              100.0	          258368961	                  0	          258368961	              100.0	          132000000	                  0	          132000000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          390368961	                  0	          390368961	              100.0
    WBS NL-N-TS2-002-02-02         Rehabilitation works	                  0	           18780349	          -18780349	                  0	                  0	           18780349	          -18780349	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18780349	          -18780349	                  0
    WBS NL-N-TS2-002-02-05         Water  Proofing work	                  0	            6281603	           -6281603	                  0	                  0	            6281603	           -6281603	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6281603	           -6281603	                  0
    WBS NL-N-TS2-002-02-06         Paver block pavement	                  0	            6082931	           -6082931	                  0	                  0	            6082931	           -6082931	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6082931	           -6082931	                  0
    WBS NL-N-TS2-002-02-07         Rehabilitation works	                  0	           20680612	          -20680612	                  0	                  0	           20680612	          -20680612	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           20680612	          -20680612	                  0
    WBS NL-N-TS2-002-02-09         Roof& cladding to JT	                  0	            3186642	           -3186642	                  0	                  0	            3186642	           -3186642	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3186642	           -3186642	                  0
    WBS NL-N-TS2-002-02-10         Painting of  Boiler	                  0	            1283419	           -1283419	                  0	                  0	            1283419	           -1283419	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1283419	           -1283419	                  0
    WBS NL-N-TS2-002-02-11         Repair& painting of	                  0	            3896421	           -3896421	                  0	                  0	            3896421	           -3896421	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3896421	           -3896421	                  0
    WBS NL-N-TS2-002-02-12         Coat over existing b	                  0	            1813727	           -1813727	                  0	                  0	            1813727	           -1813727	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1813727	           -1813727	                  0
    WBS NL-N-TS2-002-02-13         Providing golvelume	                  0	            1517071	           -1517071	                  0	                  0	            1517071	           -1517071	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1517071	           -1517071	                  0
    WBS NL-N-TS2-002-02-17         Restoration  sheets	                  0	           12373433	          -12373433	                  0	                  0	           12373433	          -12373433	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           12373433	          -12373433	                  0
    WBS NL-N-TS2-002-02-18         Restoration sheet  B	                  0	           12685552	          -12685552	                  0	                  0	           12685552	          -12685552	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           12685552	          -12685552	                  0
    WBS NL-N-TS2-002-02-21         Installation&Commiss	                  0	            7944114	           -7944114	                  0	                  0	            7944114	           -7944114	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7944114	           -7944114	                  0
