Plan/Actual/Variance	Current data (01.12.2025 16:15:22)
	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2026	2026	2026	2026	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
Displayed in	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1
6*  PRJ NL-C-BSP-001               300 MW Solar Power P	        17555000001	        13608638288	         3946361713	               22.5	        17555000001	         5647895502	        11907104499	               67.8	                  0	         7960742786	        -7960742786	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	        17575000001	        13608638288	         3966361713	               22.6
6*  PRJ NL-C-CRD-002               Lignite to disel cap	            5945634	            3987309	            1958325	               32.9	            5945634	            3987309	            1958325	               32.9	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5945634	            3987309	            1958325	               32.9
6*  PRJ NL-C-CRD-003               CARD-IITM-Developmen	           18295400	            3679142	           14616258	               79.9	           18295400	            3679142	           14616258	               79.9	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18295400	            3679142	           14616258	               79.9
6*  PRJ NL-C-CRD-004               CAPEX PROJECT FOR CA	          988500000	          444877841	          543622159	               55.0	          718500000	          373295067	          345204933	               48.0	          270000000	           71582774	          198417226	               73.5	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          988500000	          444877841	          543622159	               55.0
6*  PRJ NL-C-KSP-001               Khavda Solar Power P	        33358500000	             375240	        33358124760	              100.0	        33358500000	             375240	        33358124760	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	        33358500000	             375240	        33358124760	              100.0
6*  PRJ NL-C-LAQ-001               Land Acquisiton Plan	         3303100000	         4006368114	         -703268114	              -21.3	         1400000000	         3726816574	        -2326816574	             -166.2	         1903100000	          279551541	         1623548459	               85.3	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         3303100000	         4006368114	         -703268114	              -21.3
6*  PRJ NL-C-MIA-001               EXPANSION OF MINE-IA	         9381454495	          867124978	         8514329516	               90.8	          359054495	          712812588	         -353758093	              -98.5	         9022400000	          154312390	         8868087610	               98.3	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         6447854495	          867124978	         5580729516	               86.6
6*  PRJ NL-C-MN1-001               Mine 1 Capex Project	         3390000000	                  0	         3390000000	              100.0	         3390000000	                  0	         3390000000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         3390000000	                  0	         3390000000	              100.0
6*  PRJ NL-C-MN3-001               Mines III Capex Proj	        37557200000	              85892	        37557114108	              100.0	        37557200000	              85892	        37557114108	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	        37557200000	              85892	        37557114108	              100.0
6*  PRJ NL-C-MTL-001               Talabira II & III OC	          790000000	         2643120478	        -1853120478	             -234.6	          790000000	         2665284485	        -1875284485	             -237.4	                  0	          -22164006	           22164006	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          790000000	         2643120478	        -1853120478	             -234.6
6*  PRJ NL-C-MTL-002               Talabira II & III OC	         7500000000	         1442048206	         6057951794	               80.8	         3500000000	          777361410	         2722638590	               77.8	         4000000000	          664686796	         3335313204	               83.4	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2700000000	         1442048206	         1257951794	               46.6
6*  PRJ NL-C-NDM-001               North Dhadu (Western	         2000000000	                  0	         2000000000	              100.0	                  0	                  0	                  0	                  0	         2000000000	                  0	         2000000000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2000000000	                  0	         2000000000	              100.0
6*  PRJ NL-C-NNT-001               NNTPP CAPEX PROJECT	         3787793152	         1292756866	         2495036286	               65.9	         3787793152	         1292582411	         2495210741	               65.9	                  0	             174455	            -174455	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	        11092690297	         1292756866	         9799933431	               88.3
6*  PRJ NL-C-NNT-002               NNTPP Flue Gas Desul	         1451162278	        10140647758	        -8689485480	             -598.8	            1162278	         9707897030	        -9706734752	          -835147.4	         1450000000	          432750728	         1017249272	               70.2	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2811782299	        10140647758	        -7328865459	             -260.6
6*  PRJ NL-C-NPS-001               New Patrapara South	         4805000000	           15653703	         4789346297	               99.7	         4805000000	                  0	         4805000000	              100.0	                  0	           15653703	          -15653703	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         4805000000	           15653703	         4789346297	               99.7
6*  PRJ NL-C-PBD-002               Neyveli 2x65 MW Sola	            6669830	           10289078	           -3619248	              -54.3	            6669830	           10289078	           -3619248	              -54.3	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10669830	           10289078	             380752	                3.6
6*  PRJ NL-C-SOL-001               Solar 10 MW Power Pr	                  0	          453596292	         -453596292	                  0	                  0	          453596292	         -453596292	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          453596292	         -453596292	                  0
6*  PRJ NL-C-SOL-002               Solar 50 MW in Mine	         2951200000	         1646966567	         1304233433	               44.2	         2951200000	         1377480845	         1573719155	               53.3	                  0	          269485722	         -269485722	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2951200000	         1646966567	         1304233433	               44.2
6*  PRJ NL-C-SOL-003               200 MW Solar Power G	        12139910364	            3754902	        12136155462	              100.0	        12138960364	            1590213	        12137370151	              100.0	             950000	            2164689	           -1214689	             -127.9	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	        12139910364	            3754902	        12136155462	              100.0
6*  PRJ NL-C-SOL-004               100 MW SOLAR (HYBRID	                  0	            1176000	           -1176000	                  0	                  0	            1176000	           -1176000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1176000	           -1176000	                  0
6*  PRJ NL-C-T22-001               TPS2 Second Expansio	          668500000	           46879267	          621620733	               93.0	          668500000	           45813963	          622686037	               93.1	                  0	            1065304	           -1065304	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          668500000	           46879267	          621620733	               93.0
6*  PRJ NL-C-T2E-001               Performance Improvem	         2117068191	          960464956	         1156603236	               54.6	         1058534096	          919574789	          138959306	               13.1	         1058534096	           40890167	         1017643929	               96.1	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2117068191	          960464956	         1156603236	               54.6
6*  PRJ NL-C-TAA-001               Mini Smart City	               6767	           17793911	          -17787145	          -262870.7	               6767	            6139688	           -6132921	           -90636.5	                  0	           11654224	          -11654224	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	               6598	           17793911	          -17787313	          -269594.6
6*  PRJ NL-C-TPP-001               NLC Talabira Thermal	        20639900000	         7898403336	        12741496664	               61.7	        12192700000	         1567062402	        10625637598	               87.1	         8447200000	         6331340934	         2115859066	               25.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	        20639900000	         7898403336	        12741496664	               61.7
6*  PRJ NL-C-TPP-002               NLC TTPP Main Packag	         1030000000	         1529689520	         -499689520	              -48.5	                  0	         1529689520	        -1529689520	                  0	         1030000000	                  0	         1030000000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1030000000	         1529689520	         -499689520	              -48.5
6*  PRJ NL-C-TS1-001               TS I Switchyard Modi	          307545691	          293119057	           14426634	                4.7	          307545691	          283409806	           24135885	                7.8	                  0	            9709251	           -9709251	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          307545691	          293119057	           14426634	                4.7
6*  PRJ NL-C-WND-001               Wind Turbine Project	                  0	           18416660	          -18416660	                  0	                  0	           18416660	          -18416660	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18416660	          -18416660	                  0
6*  PRJ NL-C-WND-002               50 MW Wind Project	         4207312750	         3131658312	         1075654438	               25.6	         4207312750	         2928210855	         1279101895	               30.4	                  0	          203447457	         -203447457	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         4207312750	         3131658312	         1075654438	               25.6
6*  PRJ NL-F-MAC-001               MACHHAKATA (REVISED)	         4962100000	           24302765	         4937797235	               99.5	         4962100000	          -21870277	         4983970277	              100.4	                  0	           46173042	          -46173042	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         4962100000	           24302765	         4937797235	               99.5
6*  PRJ NL-F-MRP-001               Raipura Phosphorite	          229200000	                  0	          229200000	              100.0	                  0	                  0	                  0	                  0	          229200000	                  0	          229200000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          229200000	                  0	          229200000	              100.0
6*  PRJ NL-F-MSP-001               Semhardih Phosphorit	          231600000	                  0	          231600000	              100.0	                  0	                  0	                  0	                  0	          231600000	                  0	          231600000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          231600000	                  0	          231600000	              100.0
