Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (26.11.2025 12:24:01)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
6*  300 MW Solar Power P PRJ NL-C-BSP-001	     19137257519.84	     13608638287.68	      1713458119.83	     15322096407.51	      3815161112.33	      5647895501.63	      5647895501.63	               0.00	      5647895501.63	               0.00	     13489362018.21	      7960742786.05	      1713458119.83	      9674200905.88	      3815161112.33	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	     19137257519.84	     13608638287.68	      1713458119.83	     15322096407.51	      3815161112.33
6*  CARD R&D Project     PRJ NL-C-CRD-001	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
6*  Lignite to disel cap PRJ NL-C-CRD-002	         3987309.00	         3987309.00	               0.00	         3987309.00	               0.00	         3987309.00	         3987309.00	               0.00	         3987309.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3987309.00	         3987309.00	               0.00	         3987309.00	               0.00
6*  CARD-IITM-Developmen PRJ NL-C-CRD-003	        13294998.85	         3679142.06	         9615856.79	        13294998.85	               0.00	        13294998.85	         3679142.06	         9615856.79	        13294998.85	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13294998.85	         3679142.06	         9615856.79	        13294998.85	               0.00
6*  CAPEX PROJECT FOR CA PRJ NL-C-CRD-004	       769271204.22	       437194841.17	       323619937.14	       760814778.31	         8456425.91	       373295066.78	       373295066.78	         1057303.50	       374352370.28	        -1057303.50	       395976137.44	        63899774.39	       259847228.92	       323747003.31	        72229134.13	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        62715404.72	        62715404.72	       -62715404.72	               0.00	               0.00	               0.00	               0.00	               0.00	       769271204.22	       437194841.17	       323619937.14	       760814778.31	         8456425.91
6*  Green Hydrogen 4MW S PRJ NL-C-H01-001	       864200000.00	               0.00	       864200000.00	       864200000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       864200000.00	               0.00	               0.00	               0.00	       864200000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       822800000.00	       822800000.00	      -822800000.00	               0.00	               0.00	        41400000.00	        41400000.00	       -41400000.00	       864200000.00	               0.00	       864200000.00	       864200000.00	               0.00
6*  Khavda Solar Power P PRJ NL-C-KSP-001	          398300.04	          375240.00	           23060.04	          398300.04	               0.00	          398300.04	          375240.00	           23060.04	          398300.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          398300.04	          375240.00	           23060.04	          398300.04	               0.00
6*  Land Acquisiton Plan PRJ NL-C-LAQ-001	      5996638355.41	      4006368114.40	        35311533.77	      4041679648.17	      1954958707.24	      3726816573.64	      3726816573.64	               0.00	      3726816573.64	               0.00	      2269821781.77	       279551540.76	        35311533.77	       314863074.53	      1954958707.24	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      5996638355.41	      4006368114.40	        35311533.77	      4041679648.17	      1954958707.24
6*  EXPANSION OF MINE-IA PRJ NL-C-MIA-001	      5838265488.62	       864926185.01	      2297925574.82	      3162851759.83	      2675413728.79	       713897061.55	       712812587.82	       369157636.37	      1081970224.19	      -368073162.64	      5124368427.07	       152113597.19	      1928767938.45	      2080881535.64	      3043486891.43	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      5838265488.62	       864926185.01	      2297925574.82	      3162851759.83	      2675413728.79
