Budget Updates	Current data (26.11.2025 12:26:23)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
5*  PRJ NG-C-SOL-001               600 MW Solar @ GSECL	           10000000	                  0	          -10000000	                  0	                  0	                  0	           10000000	                  0	          -10000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10000000	                  0	          -10000000	                  0	                  0	                  0
5*  PRJ NL-C-BSP-001               300 MW Solar Power P	         4845500000	        14411100000	         -119342480	                  0	        19137257520	        15282473051	         4845500000	        14411100000	         -119342480	                  0	         5647895502	         5647895502	                  0	                  0	                  0	                  0	        13489362018	         9634577550	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         4845500000	        14411100000	         -119342480	                  0	        19137257520	        16074525230
5*  PRJ NL-C-CRD-001               CARD R&D Project	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3722000	           -3722000	                  0	                  0	                  0
5*  PRJ NL-C-CRD-002               Lignite to disel cap	             250000	            5445634	           -1708325	                  0	            3987309	              45169	             250000	            5445634	           -1708325	                  0	            3987309	              45169	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             250000	            5445634	           -1708325	                  0	            3987309	            3987309
5*  PRJ NL-C-CRD-003               CARD-IITM-Developmen	            2500000	           13295400	           -2500401	                  0	           13294999	                  0	            2500000	           13295400	           -2500401	                  0	           13294999	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2500000	           13295400	           -2500401	                  0	           13294999	           13294999
5*  PRJ NL-C-CRD-004               CAPEX PROJECT FOR CA	          730550000	          253500000	         -214778796	                  0	          769271204	          518648498	          595550000	          253500000	          -42235561	                  0	          373295067	          373295067	          135000000	                  0	         -172543235	                  0	          395976137	          145353431	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          730550000	          253500000	         -214778796	                  0	          769271204	          761563301
5*  PRJ NL-C-H01-001               Green Hydrogen 4MW S	          864200000	                  0	                  0	                  0	          864200000	          864200000	                  0	                  0	                  0	                  0	                  0	                  0	          864200000	                  0	                  0	                  0	          864200000	          864200000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          864200000	                  0	                  0	                  0	          864200000	          864200000
5*  PRJ NL-C-KSP-001               Khavda Solar Power P	         4665477300	         1956331775	        -6621410775	                  0	             398300	             398300	         4665477300	         1956331775	        -6621410775	                  0	             398300	             398300	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         4665477300	         1956331775	        -6621410775	                  0	             398300	             398300
5*  PRJ NL-C-LAQ-001               Land Acquisiton Plan	         3836600000	         4293700000	        -2133661645	                  0	         5996638355	         4284942648	         1635000000	         4293700000	         -512677760	                  0	         3726816574	         3721657646	         2201600000	                  0	        -1620983884	                  0	         2269821782	          563285002	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         3836600000	         4293700000	        -2133661645	                  0	         5996638355	         4329904594
5*  PRJ NL-C-MIA-001               EXPANSION OF MINE-IA	         6202700000	             501220	         -364935731	                  0	         5838265489	         3952424526	         1202700000	             501220	         -313679193	                  0	          713897062	          621185107	         5000000000	                  0	          -51256538	                  0	         5124368427	         3331239419	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         6202700000	             501220	         -364935731	                  0	         5838265489	         4169271099
