Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (24.09.2025 15:12:00)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
6*  600 MW Solar @ GSECL PRJ NG-C-SOL-001	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
6*  300 MW Solar Power P PRJ NL-C-BSP-001	     19137257519.84	      9605633890.75	      1621864759.07	     11227498649.82	      7909758870.02	      5647895501.63	      5647895501.63	       297717536.20	      5945613037.83	      -297717536.20	     13489362018.21	      3957738389.12	      1324147222.87	      5281885611.99	      8207476406.22	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	     19137257519.84	      9605633890.75	      1621864759.07	     11227498649.82	      7909758870.02
6*  CARD R&D Project     PRJ NL-C-CRD-001	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
6*  Lignite to disel cap PRJ NL-C-CRD-002	         3987309.00	         3987309.00	               0.00	         3987309.00	               0.00	         3987309.00	         3987309.00	               0.00	         3987309.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3987309.00	         3987309.00	               0.00	         3987309.00	               0.00
6*  CARD-IITM-Developmen PRJ NL-C-CRD-003	        13294998.85	         3679142.06	         9615856.79	        13294998.85	               0.00	        13294998.85	         3679142.06	         9615856.79	        13294998.85	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13294998.85	         3679142.06	         9615856.79	        13294998.85	               0.00
6*  CAPEX PROJECT FOR CA PRJ NL-C-CRD-004	       769271204.22	       403562975.70	       253430086.25	       656993061.95	       112278142.27	       373295066.78	       373295066.78	               0.00	       373295066.78	               0.00	       395976137.44	        30267908.92	       253430086.25	       283697995.17	       112278142.27	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       769271204.22	       403562975.70	       253430086.25	       656993061.95	       112278142.27
6*  Khavda Solar Power P PRJ NL-C-KSP-001	          398300.04	          375240.00	           23060.04	          398300.04	               0.00	          398300.04	          375240.00	           23060.04	          398300.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          398300.04	          375240.00	           23060.04	          398300.04	               0.00
6*  Land Acquisiton Plan PRJ NL-C-LAQ-001	      5996638355.41	      3898397040.70	         5446894.77	      3903843935.47	      2092794419.94	      3726816573.64	      3726816573.64	               0.00	      3726816573.64	               0.00	      2269821781.77	       171580467.06	         5446894.77	       177027361.83	      2092794419.94	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      5996638355.41	      3898397040.70	         5446894.77	      3903843935.47	      2092794419.94
6*  EXPANSION OF MINE-IA PRJ NL-C-MIA-001	      5838265488.62	       786591435.28	      2379591176.47	      3166182611.75	      2672082876.87	       713897061.55	       712812587.82	       369157636.37	      1081970224.19	      -368073162.64	      5124368427.07	        73778847.46	      2010433540.10	      2084212387.56	      3040156039.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      5838265488.62	       786591435.28	      2379591176.47	      3166182611.75	      2672082876.87
