Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (22.04.2025 15:50:40)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
*** Mechanical Services  PRJ NL-N-MES-001	      5414379417.03	      4402822320.38	       661349658.97	      5064171979.35	       350207437.68	      5414379417.03	      4050054512.33	       242280190.49	      4292334702.82	      1122044714.21	               0.00	       352767808.05	       419069468.48	       771837276.53	      -771837276.53	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      5414379417.05	      4402822320.38	       661349658.97	      5064171979.35	       350207437.70
**  Mechanical Services  WBS NL-N-MES-001	      5414379417.03	      4402822320.38	       661349658.97	      5064171979.35	       350207437.68	      5414379417.03	      4050054512.33	       242280190.49	      4292334702.82	      1122044714.21	               0.00	       352767808.05	       419069468.48	       771837276.53	      -771837276.53	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      5414379417.05	      4402822320.38	       661349658.97	      5064171979.35	       350207437.70
*   Mine I               WBS NL-N-MES-001-01	      1570387771.56	      1301361029.12	       269026742.43	      1570387771.55	               0.01	      1570387771.56	      1210591982.89	       147333388.97	      1357925371.86	       212462399.70	               0.00	        90769046.23	       121693353.46	       212462399.69	      -212462399.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1570387771.56	      1301361029.12	       269026742.43	      1570387771.55	               0.01
    Dozer not less than  WBS NL-N-MES-001-01-01	         6542075.29	         6542075.29	               0.00	         6542075.29	               0.00	         6542075.29	         6542075.29	               0.00	         6542075.29	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6542075.29	         6542075.29	               0.00	         6542075.29	               0.00
    Backhoe of 0.9 Cu.Mt WBS NL-N-MES-001-01-02	         9654757.75	               0.00	         9654757.75	         9654757.75	               0.00	         9654757.75	               0.00	         9654757.75	         9654757.75	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9654757.75	               0.00	         9654757.75	         9654757.75	               0.00
    C-Cranes – 6Nos.     WBS NL-N-MES-001-01-03	       271611430.66	       264894253.48	         6717177.19	       271611430.67	              -0.01	       271611430.66	       238025544.72	         6717177.19	       244742721.91	        26868708.75	               0.00	        26868708.76	               0.00	        26868708.76	       -26868708.76	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       271611430.66	       264894253.48	         6717177.19	       271611430.67	              -0.01
    Backhoe Loader- 1 No WBS NL-N-MES-001-01-04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
    Backhoes not less th WBS NL-N-MES-001-01-05	        44404301.65	        44404301.65	               0.00	        44404301.65	               0.00	        44404301.65	        44404301.65	               0.00	        44404301.65	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        44404301.65	        44404301.65	               0.00	        44404301.65	               0.00
    Water Sprinkler      WBS NL-N-MES-001-01-06	        94262565.50	        94038295.93	          224269.57	        94262565.50	               0.00	        94262565.50	        94038295.93	          224269.57	        94262565.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        94262565.50	        94038295.93	          224269.57	        94262565.50	               0.00
