Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (24.09.2025 10:36:59)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
4*  MACHHAKATA (REVISED) PRJ NL-F-MAC-001	      2264148400.00	       -10897077.60	       516480200.27	       505583122.67	      1758565277.33	       368607886.40	       -21870277.48	       431290000.00	       409419722.52	       -40811836.12	      1895540513.60	        10973199.88	        85190200.27	        96163400.15	      1799377113.45	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      2264148400.00	       -10897077.60	       516480200.27	       505583122.67	      1758565277.33
*** MACHHAKATA (REVISED) WBS NL-F-MAC-001	      2264148400.00	       -10897077.60	       516480200.27	       505583122.67	      1758565277.33	       368607886.40	       -21870277.48	       431290000.00	       409419722.52	       -40811836.12	      1895540513.60	        10973199.88	        85190200.27	        96163400.15	      1799377113.45	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      2264148400.00	       -10897077.60	       516480200.27	       505583122.67	      1758565277.33
**  Statutory Payments   WBS NL-F-MAC-001-01	      1250552594.00	       -29341098.00	               0.00	       -29341098.00	      1279893692.00	          552594.00	       -29341098.00	               0.00	       -29341098.00	        29893692.00	      1250000000.00	               0.00	               0.00	               0.00	      1250000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1250552594.00	       -29341098.00	               0.00	       -29341098.00	      1279893692.00
*   Upfront Amount (1st  WBS NL-F-MAC-001-01-01	      1250000000.00	        -8023414.00	               0.00	        -8023414.00	      1258023414.00	               0.00	        -8023414.00	               0.00	        -8023414.00	         8023414.00	      1250000000.00	               0.00	               0.00	               0.00	      1250000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1250000000.00	        -8023414.00	               0.00	        -8023414.00	      1258023414.00
*   Fixed Amount         WBS NL-F-MAC-001-01-02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Performance security WBS NL-F-MAC-001-01-03	               0.00	       -21870278.00	               0.00	       -21870278.00	        21870278.00	               0.00	       -21870278.00	               0.00	       -21870278.00	        21870278.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       -21870278.00	               0.00	       -21870278.00	        21870278.00
*   Geological Report    WBS NL-F-MAC-001-01-04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Non Coal bearing are WBS NL-F-MAC-001-01-05	          552594.00	          552594.00	               0.00	          552594.00	               0.00	          552594.00	          552594.00	               0.00	          552594.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          552594.00	          552594.00	               0.00	          552594.00	               0.00
**  Preparation of DPR a WBS NL-F-MAC-001-02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
