Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (28.04.2025 15:16:52)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
4*  TPS-I Exp Non Plan C PRJ NL-N-T1E-001	      1337549258.07	       631715054.96	       598929273.53	      1230644328.49	       106904929.58	      1337549258.07	       594717037.21	       566307727.53	      1161024764.74	       176524493.33	               0.00	        36998017.75	        32621546.00	        69619563.75	       -69619563.75	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1337549258.07	       631715054.96	       598929273.53	      1230644328.49	       106904929.58
*** TPS-I Exp Non Plan C WBS NL-N-T1E-001	      1337549258.07	       631715054.96	       598929273.53	      1230644328.49	       106904929.58	      1337549258.07	       594717037.21	       566307727.53	      1161024764.74	       176524493.33	               0.00	        36998017.75	        32621546.00	        69619563.75	       -69619563.75	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1337549258.07	       631715054.96	       598929273.53	      1230644328.49	       106904929.58
**  Boiler Maintenance   WBS NL-N-T1E-001-01	       297828292.79	        19451505.06	       278372857.62	       297824362.68	            3930.11	       297828292.79	        19060867.17	       275362057.60	       294422924.77	         3405368.02	               0.00	          390637.89	         3010800.02	         3401437.91	        -3401437.91	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       297828292.79	        19451505.06	       278372857.62	       297824362.68	            3930.11
*   Electric Impact wren WBS NL-N-T1E-001-01-01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Chain pulley block-5 WBS NL-N-T1E-001-01-02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Electric wrench -2 M WBS NL-N-T1E-001-01-03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Welding machine and  WBS NL-N-T1E-001-01-04	          244570.17	          208640.16	           31999.90	          240640.06	            3930.11	          244570.17	          208640.16	           31999.90	          240640.06	            3930.11	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          244570.17	          208640.16	           31999.90	          240640.06	            3930.11
*   Magnetic Lifter      WBS NL-N-T1E-001-01-05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Angle grinders and c WBS NL-N-T1E-001-01-06	           69909.98	           14199.98	           55710.00	           69909.98	               0.00	           69909.98	           14199.98	           55710.00	           69909.98	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           69909.98	           14199.98	           55710.00	           69909.98	               0.00
*   Tools & Tackles for  WBS NL-N-T1E-001-01-07	          356039.97	          356039.97	               0.00	          356039.97	               0.00	          356039.97	          356039.97	               0.00	          356039.97	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          356039.97	          356039.97	               0.00	          356039.97	               0.00
