Plan/Actual/Variance	Current data (20.02.2025 17:15:24)
	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2024	2024	2024	2024	2025	2025	2025	2025	2026	2026	2026	2026	2027 and Following	2027 and Following	2027 and Following	2027 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
Displayed in	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1
5*  PRJ NL-N-TS2-002               TPS-II LEP Stage I &	         2855912771	         2584701328	          271211442	                9.5	                  0	         1916246638	        -1916246638	                  0	         2855912771	          668454691	         2187458080	               76.6	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2855912771	         2584701328	          271211442	                9.5
4*  WBS NL-N-TS2-002               TPS-II LEP Stage I &	         2855912771	         2584701328	          271211442	                9.5	                  0	         1916246638	        -1916246638	                  0	         2855912771	          668454691	         2187458080	               76.6	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2855912771	         2584701328	          271211442	                9.5
*** WBS NL-N-TS2-002-01            AHS	           51879932	           57147326	           -5267394	              -10.2	                  0	           38446256	          -38446256	                  0	           51879932	           18701070	           33178862	               64.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           51879932	           57147326	           -5267394	              -10.2
**  WBS NL-N-TS2-002-01-01         ESP-UNIT-2	           51879932	           22310265	           29569667	               57.0	                  0	           18105132	          -18105132	                  0	           51879932	            4205133	           47674799	               91.9	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           51879932	           22310265	           29569667	               57.0
**  WBS NL-N-TS2-002-01-03         CS Seamless pipe siz	                  0	           11361324	          -11361324	                  0	                  0	           11361324	          -11361324	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11361324	          -11361324	                  0
**  WBS NL-N-TS2-002-01-04         Purchase of ceramic	                  0	            2150545	           -2150545	                  0	                  0	                  0	                  0	                  0	                  0	            2150545	           -2150545	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2150545	           -2150545	                  0
**  WBS NL-N-TS2-002-01-06         Air BLOCK 1ST STAGE	                  0	            8979800	           -8979800	                  0	                  0	            8979800	           -8979800	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8979800	           -8979800	                  0
**  WBS NL-N-TS2-002-01-08         Air Block 1st &2nd s	                  0	            8920800	           -8920800	                  0	                  0	                  0	                  0	                  0	                  0	            8920800	           -8920800	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8920800	           -8920800	                  0
**  WBS NL-N-TS2-002-01-09         Purchase of Ash inle	                  0	            3424592	           -3424592	                  0	                  0	                  0	                  0	                  0	                  0	            3424592	           -3424592	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3424592	           -3424592	                  0
*** WBS NL-N-TS2-002-02            CIVIL	          258368961	          186523277	           71845683	               27.8	                  0	          137506011	         -137506011	                  0	          258368961	           49017266	          209351695	               81.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          258368961	          186523277	           71845683	               27.8
**  WBS NL-N-TS2-002-02-01         Rehabilitation works	          258368961	                  0	          258368961	              100.0	                  0	                  0	                  0	                  0	          258368961	                  0	          258368961	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          258368961	                  0	          258368961	              100.0
**  WBS NL-N-TS2-002-02-02         Rehabilitation works	                  0	           18780349	          -18780349	                  0	                  0	           18780349	          -18780349	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18780349	          -18780349	                  0
**  WBS NL-N-TS2-002-02-05         Water  Proofing work	                  0	            6281603	           -6281603	                  0	                  0	            6305947	           -6305947	                  0	                  0	             -24344	              24344	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6281603	           -6281603	                  0
**  WBS NL-N-TS2-002-02-06         Paver block pavement	                  0	            6082931	           -6082931	                  0	                  0	            6082931	           -6082931	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6082931	           -6082931	                  0
**  WBS NL-N-TS2-002-02-07         Rehabilitation works	                  0	           20680612	          -20680612	                  0	                  0	           20680612	          -20680612	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           20680612	          -20680612	                  0
**  WBS NL-N-TS2-002-02-09         Roof& cladding to JT	                  0	            3186642	           -3186642	                  0	                  0	            3186642	           -3186642	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3186642	           -3186642	                  0
**  WBS NL-N-TS2-002-02-10         Painting of  Boiler	                  0	            1283419	           -1283419	                  0	                  0	            1283419	           -1283419	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1283419	           -1283419	                  0
**  WBS NL-N-TS2-002-02-11         Repair& painting of	                  0	            3896421	           -3896421	                  0	                  0	            3896421	           -3896421	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3896421	           -3896421	                  0
**  WBS NL-N-TS2-002-02-12         Coat over existing b	                  0	            1813727	           -1813727	                  0	                  0	            1813727	           -1813727	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1813727	           -1813727	                  0
**  WBS NL-N-TS2-002-02-13         Providing golvelume	                  0	            1517071	           -1517071	                  0	                  0	            1517071	           -1517071	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1517071	           -1517071	                  0
**  WBS NL-N-TS2-002-02-17         Restoration  sheets	                  0	           12373433	          -12373433	                  0	                  0	           12373433	          -12373433	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           12373433	          -12373433	                  0
**  WBS NL-N-TS2-002-02-18         Restoration sheet  B	                  0	           12685552	          -12685552	                  0	                  0	           12685552	          -12685552	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           12685552	          -12685552	                  0
**  WBS NL-N-TS2-002-02-21         Installation&Commiss	                  0	            7944114	           -7944114	                  0	                  0	            7944114	           -7944114	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7944114	           -7944114	                  0
**  WBS NL-N-TS2-002-02-22         Upgraditaion of Weig	                  0	             430496	            -430496	                  0	                  0	             430496	            -430496	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             430496	            -430496	                  0
**  WBS NL-N-TS2-002-02-24         Retrofit outside pla	                  0	           18928675	          -18928675	                  0	                  0	           18928675	          -18928675	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18928675	          -18928675	                  0
**  WBS NL-N-TS2-002-02-25         Laterite Platform fo	                  0	            8065283	           -8065283	                  0	                  0	            8065283	           -8065283	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8065283	           -8065283	                  0
**  WBS NL-N-TS2-002-02-26         Civil & Structural w	                  0	            1619422	           -1619422	                  0	                  0	            1619422	           -1619422	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1619422	           -1619422	                  0
**  WBS NL-N-TS2-002-02-27         Cover Shed for ESP T	                  0	            1692146	           -1692146	                  0	                  0	            1692146	           -1692146	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1692146	           -1692146	                  0
**  WBS NL-N-TS2-002-02-28         Unit-5 Lift enclose	                  0	            2520119	           -2520119	                  0	                  0	            2520119	           -2520119	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2520119	           -2520119	                  0
**  WBS NL-N-TS2-002-02-30         Repair of J-Row Wall	                  0	             840521	            -840521	                  0	                  0	             840521	            -840521	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             840521	            -840521	                  0
**  WBS NL-N-TS2-002-02-33         Modification of Powe	                  0	             383179	            -383179	                  0	                  0	             383179	            -383179	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             383179	            -383179	                  0
**  WBS NL-N-TS2-002-02-35         Manu.&supply of slee	                  0	            7107621	           -7107621	                  0	                  0	            6475951	           -6475951	                  0	                  0	             631670	            -631670	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7107621	           -7107621	                  0
**  WBS NL-N-TS2-002-02-38         Formation of new WBM	                  0	            8368369	           -8368369	                  0	                  0	                  0	                  0	                  0	                  0	            8368369	           -8368369	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8368369	           -8368369	                  0
