Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (14.05.2025 15:05:01)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
5*  TPS-II LEP Stage I & PRJ NL-N-TS2-002	      6869461119.73	      2877803714.97	      3372380385.67	      6250194821.63	       619266298.10	      2820744957.79	      2811734033.52	               0.00	      2811744754.51	         9000203.28	      4048716161.94	        66069681.45	      3354169422.19	      3420239103.64	       628477058.30	               0.00	               0.00	        18210963.48	        18210963.48	       -18210963.48	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      6869461119.73	      2877803714.97	      3372380385.67	      6250194821.63	       619266298.10
4*  TPS-II LEP Stage I & WBS NL-N-TS2-002	      6869461119.73	      2877803714.97	      3372380385.67	      6250194821.63	       619266298.10	      2820744957.79	      2811734033.52	               0.00	      2811744754.51	         9000203.28	      4048716161.94	        66069681.45	      3354169422.19	      3420239103.64	       628477058.30	               0.00	               0.00	        18210963.48	        18210963.48	       -18210963.48	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      6869461119.73	      2877803714.97	      3372380385.67	      6250194821.63	       619266298.10
*** AHS                  WBS NL-N-TS2-002-01	       225199259.95	        58360292.44	       166838967.51	       225199259.95	               0.00	        57148332.38	        57148332.38	               0.00	        57148332.38	               0.00	       168050927.57	         1211960.06	       166838967.51	       168050927.57	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       225199259.95	        58360292.44	       166838967.51	       225199259.95	               0.00
**  ESP-UNIT-2           WBS NL-N-TS2-002-01-01	        22310264.97	        22310264.97	               0.00	        22310264.97	               0.00	        22310264.97	        22310264.97	               0.00	        22310264.97	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        22310264.97	        22310264.97	               0.00	        22310264.97	               0.00
**  CS Seamless pipe siz WBS NL-N-TS2-002-01-03	        11370400.00	        11361324.16	            9075.84	        11370400.00	               0.00	        11361324.16	        11361324.16	               0.00	        11361324.16	               0.00	            9075.84	               0.00	            9075.84	            9075.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        11370400.00	        11361324.16	            9075.84	        11370400.00	               0.00
**  Purchase of ceramic  WBS NL-N-TS2-002-01-04	         2150544.69	         2150544.69	               0.00	         2150544.69	               0.00	         2150544.69	         2150544.69	               0.00	         2150544.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2150544.69	         2150544.69	               0.00	         2150544.69	               0.00
**  GS Plain Grating for WBS NL-N-TS2-002-01-05	         6515074.25	               0.00	         6515074.25	         6515074.25	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6515074.25	               0.00	         6515074.25	         6515074.25	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6515074.25	               0.00	         6515074.25	         6515074.25	               0.00
**  Air BLOCK 1ST STAGE  WBS NL-N-TS2-002-01-06	         8979800.00	         8979800.00	               0.00	         8979800.00	               0.00	         8979800.00	         8979800.00	               0.00	         8979800.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8979800.00	         8979800.00	               0.00	         8979800.00	               0.00
**  Air Block 1st &2nd s WBS NL-N-TS2-002-01-08	         8920800.00	         8920800.00	               0.00	         8920800.00	               0.00	         8920800.00	         8920800.00	               0.00	         8920800.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8920800.00	         8920800.00	               0.00	         8920800.00	               0.00
