Budget Updates	Current data (26.11.2025 12:36:30)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
5*  PRJ NL-N-TS2-002               TPS-II LEP Stage I &	         7624730000	         3269450154	        -2641347718	                  0	         8252832436	         5291079315	         5630730000	         3269450154	        -2030719732	                  0	         2820744260	         2820177398	         1994000000	                  0	         -610627986	                  0	         5432088176	         2470901917	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         7624730000	         3269450154	        -2641243531	                  0	         8252936623	         8139336616
4*  WBS NL-N-TS2-002               TPS-II LEP Stage I &	         7624730000	         3269450154	        -2641347718	                  0	         8252832436	         5291079315	         5630730000	         3269450154	        -2030719732	                  0	         2820744260	         2820177398	         1994000000	                  0	         -610627986	                  0	         5432088176	         2470901917	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         7624730000	         3269450154	        -2641243531	                  0	         8252936623	         8139336616
*** WBS NL-N-TS2-002-01            AHS	          225199260	                  0	                  0	                  0	          225199260	           57148332	          225199260	                  0	                  0	                  0	           57148332	           57148332	                  0	                  0	                  0	                  0	          168050928	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          225199260	                  0	                  0	                  0	          225199260	          225199260
**  WBS NL-N-TS2-002-01-01         ESP-UNIT-2	           22310265	                  0	                  0	                  0	           22310265	           22310265	           22310265	                  0	                  0	                  0	           22310265	           22310265	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           22310265	                  0	                  0	                  0	           22310265	           22310265
**  WBS NL-N-TS2-002-01-03         CS Seamless pipe siz	           11370400	                  0	                  0	                  0	           11370400	           11361324	           11370400	                  0	                  0	                  0	           11361324	           11361324	                  0	                  0	                  0	                  0	               9076	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11370400	                  0	                  0	                  0	           11370400	           11370400
**  WBS NL-N-TS2-002-01-04         Purchase of ceramic	            2150545	                  0	                  0	                  0	            2150545	            2150545	            2150545	                  0	                  0	                  0	            2150545	            2150545	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2150545	                  0	                  0	                  0	            2150545	            2150545
**  WBS NL-N-TS2-002-01-05         GS Plain Grating for	            6515074	                  0	                  0	                  0	            6515074	                  0	            6515074	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6515074	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6515074	                  0	                  0	                  0	            6515074	            6515074
**  WBS NL-N-TS2-002-01-06         Air BLOCK 1ST STAGE	            8979800	                  0	                  0	                  0	            8979800	            8979800	            8979800	                  0	                  0	                  0	            8979800	            8979800	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8979800	                  0	                  0	                  0	            8979800	            8979800
**  WBS NL-N-TS2-002-01-08         Air Block 1st &2nd s	            8920800	                  0	                  0	                  0	            8920800	            8920800	            8920800	                  0	                  0	                  0	            8920800	            8920800	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8920800	                  0	                  0	                  0	            8920800	            8920800
**  WBS NL-N-TS2-002-01-09         Purchase of Ash inle	            3425599	                  0	                  0	                  0	            3425599	            3425599	            3425599	                  0	                  0	                  0	            3425599	            3425599	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3425599	                  0	                  0	                  0	            3425599	            3425599
