Budget/Actual/Commitment/Assigned	Current data (12.05.2026 12:25:20)
	Overall values	Overall values	Overall values	Overall values	Overall values	2021	2021	2021	2021	2021	2022	2022	2022	2022	2022	2023	2023	2023	2023	2023	2024	2024	2024	2024	2024	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028	2028	2028	2028	2028	2029	2029	2029	2029	2029	2030	2030	2030	2030	2030	2031	2031	2031	2031	2031	Total of years	Total of years	Total of years	Total of years	Total of years
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
5*  PRJ NL-N-TS2-002               TPS-II LEP Stage I &	      8665482268.98	      3494054108.10	      4852372387.19	      8346437216.28	       319045052.70	       541865726.36	       511640121.14	               0.00	       511640121.14	        30225605.22	       844918797.01	       842191845.05	         3713916.21	       845916482.25	         -997685.24	       562731757.53	       562414671.32	               0.00	       562414671.32	          317086.21	       901429937.67	       895487396.01	        12311239.38	       907798635.39	        -6368697.72	       656986654.58	       653559581.44	         1690889.05	       655250470.49	         1736184.09	      5031784275.15	        28760493.14	      4782356642.15	      4811117135.29	       220667139.86	        52299700.40	               0.00	        52299700.40	        52299700.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      8592016848.70	      3494054108.10	      4852372387.19	      8346437216.28	       245579632.42
4*  WBS NL-N-TS2-002               TPS-II LEP Stage I &	      8665482268.98	      3494054108.10	      4852372387.19	      8346437216.28	       319045052.70	       541865726.36	       511640121.14	               0.00	       511640121.14	        30225605.22	       844918797.01	       842191845.05	         3713916.21	       845916482.25	         -997685.24	       562731757.53	       562414671.32	               0.00	       562414671.32	          317086.21	       901429937.67	       895487396.01	        12311239.38	       907798635.39	        -6368697.72	       656986654.58	       653559581.44	         1690889.05	       655250470.49	         1736184.09	      5031784275.15	        28760493.14	      4782356642.15	      4811117135.29	       220667139.86	        52299700.40	               0.00	        52299700.40	        52299700.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      8592016848.70	      3494054108.10	      4852372387.19	      8346437216.28	       245579632.42
*** WBS NL-N-TS2-002-01            AHS	       271974394.35	        58360648.74	       213595593.93	       271956242.67	           18151.68	         4422949.51	         4422949.51	               0.00	         4422949.51	               0.00	        13682182.60	        13682182.60	               0.00	        13682182.60	               0.00	        20341124.16	        20341124.16	               0.00	        20341124.16	               0.00	        18702076.11	        18702076.11	               0.00	        18702076.11	               0.00	         1212316.36	         1212316.36	               0.00	         1212316.36	               0.00	       213595593.93	               0.00	       213595593.93	       213595593.93	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       271956242.67	        58360648.74	       213595593.93	       271956242.67	               0.00
**  WBS NL-N-TS2-002-01-01         ESP-UNIT-2	        22310264.97	        22310264.97	               0.00	        22310264.97	               0.00	         4422949.51	         4422949.51	               0.00	         4422949.51	               0.00	        13682182.60	        13682182.60	               0.00	        13682182.60	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4205132.86	         4205132.86	               0.00	         4205132.86	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        22310264.97	        22310264.97	               0.00	        22310264.97	               0.00
**  WBS NL-N-TS2-002-01-03         CS Seamless pipe siz	        11370400.00	        11361324.16	               0.00	        11361324.16	            9075.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        11361324.16	        11361324.16	               0.00	        11361324.16	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        11361324.16	        11361324.16	               0.00	        11361324.16	               0.00
**  WBS NL-N-TS2-002-01-04         Purchase of ceramic	         2150544.69	         2150544.69	               0.00	         2150544.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2150544.69	         2150544.69	               0.00	         2150544.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2150544.69	         2150544.69	               0.00	         2150544.69	               0.00
**  WBS NL-N-TS2-002-01-05         GS Plain Grating for	         6515074.25	               0.00	         6515074.25	         6515074.25	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6515074.25	               0.00	         6515074.25	         6515074.25	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6515074.25	               0.00	         6515074.25	         6515074.25	               0.00
